meeting_key,meeting_name,meeting_official_name,location,country_key,country_code,country_name,country_flag,circuit_key,circuit_short_name,circuit_type,circuit_info_url,circuit_image,gmt_offset,date_start,date_end,year,is_cancelled
1228,Pre-Season Testing,FORMULA 1 ARAMCO PRE-SEASON TESTING 2024,Sakhir,36,BRN,Bahrain,https://media.formula1.com/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/bahrain-flag.png,63,Sakhir,Permanent,https://api.multiviewer.app/api/v1/circuits/63/2024,https://media.formula1.com/content/dam/fom-website/2018-redesign-assets/Track%20icons%204x3/Bahrain%20carbon.png,03:00:00,2024-02-21T07:00:00+00:00,2024-02-23T16:00:00+00:00,2024,False
1229,Bahrain Grand Prix,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2024,Sakhir,36,BRN,Bahrain,https://media.formula1.com/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/bahrain-flag.png,63,Sakhir,Permanent,https://api.multiviewer.app/api/v1/circuits/63/2024,https://media.formula1.com/content/dam/fom-website/2018-redesign-assets/Track%20icons%204x3/Bahrain%20carbon.png,03:00:00,2024-02-29T11:30:00+00:00,2024-03-02T17:00:00+00:00,2024,False
1230,Saudi Arabian Grand Prix,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2024,Jeddah,153,KSA,Saudi Arabia,https://media.formula1.com/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/saudi-arabia-flag.png,149,Jeddah,Temporary - Street,https://api.multiviewer.app/api/v1/circuits/149/2024,https://media.formula1.com/content/dam/fom-website/2018-redesign-assets/Track%20icons%204x3/Saudi Arabia%20carbon.png,03:00:00,2024-03-07T13:30:00+00:00,2024-03-09T19:00:00+00:00,2024,False
1231,Australian Grand Prix,FORMULA 1 ROLEX AUSTRALIAN GRAND PRIX 2024,Melbourne,5,AUS,Australia,https://media.formula1.com/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/australia-flag.png,10,Melbourne,Temporary - Street,https://api.multiviewer.app/api/v1/circuits/10/2024,https://media.formula1.com/content/dam/fom-website/2018-redesign-assets/Track%20icons%204x3/Australia%20carbon.png,11:00:00,2024-03-22T01:30:00+00:00,2024-03-24T06:00:00+00:00,2024,False
1232,Japanese Grand Prix,FORMULA 1 MSC CRUISES JAPANESE GRAND PRIX 2024,Suzuka,4,JPN,Japan,https://media.formula1.com/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/japan-flag.png,46,Suzuka,Permanent,https://api.multiviewer.app/api/v1/circuits/46/2024,https://media.formula1.com/content/dam/fom-website/2018-redesign-assets/Track%20icons%204x3/Japan%20carbon.png,09:00:00,2024-04-05T02:30:00+00:00,2024-04-07T07:00:00+00:00,2024,False
1233,Chinese Grand Prix,FORMULA 1 LENOVO CHINESE GRAND PRIX 2024,Shanghai,53,CHN,China,https://media.formula1.com/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/china-flag.png,49,Shanghai,Permanent,https://api.multiviewer.app/api/v1/circuits/49/2024,https://media.formula1.com/content/dam/fom-website/2018-redesign-assets/Track%20icons%204x3/China%20carbon.png,08:00:00,2024-04-19T03:30:00+00:00,2024-04-21T09:00:00+00:00,2024,False
1234,Miami Grand Prix,FORMULA 1 CRYPTO.COM MIAMI GRAND PRIX 2024,Miami,19,USA,United States,https://media.formula1.com/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/united-states-flag.png,151,Miami,Temporary - Street,https://api.multiviewer.app/api/v1/circuits/151/2024,https://media.formula1.com/content/dam/fom-website/2018-redesign-assets/Track%20icons%204x3/Miami%20carbon.png,-04:00:00,2024-05-03T16:30:00+00:00,2024-05-05T22:00:00+00:00,2024,False
1235,Emilia Romagna Grand Prix,FORMULA 1 MSC CRUISES GRAN PREMIO DEL MADE IN ITALY E DELL'EMILIA-ROMAGNA 2024,Imola,13,ITA,Italy,https://media.formula1.com/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/italy-flag.png,6,Imola,Permanent,https://api.multiviewer.app/api/v1/circuits/6/2024,https://media.formula1.com/content/dam/fom-website/2018-redesign-assets/Track%20icons%204x3/Emilia-Romagna%20carbon.png,02:00:00,2024-05-17T11:30:00+00:00,2024-05-19T15:00:00+00:00,2024,False
1236,Monaco Grand Prix,FORMULA 1 GRAND PRIX DE MONACO 2024,Monaco,114,MON,Monaco,https://media.formula1.com/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/monaco-flag.png,22,Monte Carlo,Temporary - Street,https://api.multiviewer.app/api/v1/circuits/22/2024,https://media.formula1.com/content/dam/fom-website/2018-redesign-assets/Track%20icons%204x3/Monaco%20carbon.png,02:00:00,2024-05-24T11:30:00+00:00,2024-05-26T15:00:00+00:00,2024,False
1237,Canadian Grand Prix,FORMULA 1 AWS GRAND PRIX DU CANADA 2024,Montréal,46,CAN,Canada,https://media.formula1.com/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/canada-flag.png,23,Montreal,Permanent,https://api.multiviewer.app/api/v1/circuits/23/2024,https://media.formula1.com/content/dam/fom-website/2018-redesign-assets/Track%20icons%204x3/Canada%20carbon.png,-04:00:00,2024-06-07T17:30:00+00:00,2024-06-09T20:00:00+00:00,2024,False
