meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1229,9472,20,1,2024-03-02T15:03:42.341000+00:00,36.264,44.375,24.212,227.0,242,False,104.851,"[None, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2051]",254.0
1229,9472,24,1,2024-03-02T15:03:42.341000+00:00,37.343,43.576,24.294,220.0,243,False,105.213,"[None, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",269.0
1229,9472,31,1,2024-03-02T15:03:42.341000+00:00,39.278,43.42,24.385,230.0,252,False,107.083,"[None, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",255.0
1229,9472,1,2,2024-03-02T15:05:20.099000+00:00,30.916,41.661,23.719,232.0,248,False,96.296,"[2049, 2049, 2049, 2049, 2048, 2051, 2049, 2048, 2051, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2049, 2048, 2048, 2049]",287.0
1229,9472,16,2,2024-03-02T15:05:21.019000+00:00,31.166,41.864,23.832,,240,False,96.862,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2048]","[2049, 2049, 2048, 2048, 2048, 2048, 2048, 2049, 2049, 2048, 2048]","[2048, 2048, 2048, 2049, 2049, 2048, 2048]",293.0
1229,9472,63,2,2024-03-02T15:05:22.022000+00:00,30.829,42.038,23.768,230.0,253,False,96.635,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2048, 2048, 2049, 2048, 2049, 2049, 2048, 2049, 2048]","[2048, 2048, 2049, 2051, 2048, 2048, 2049]",298.0
1229,9472,11,2,2024-03-02T15:05:22.877000+00:00,30.678,41.867,23.996,234.0,257,False,96.541,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2048, 2049, 2049, 2049, 2049, 2048, 2048, 2051]","[2048, 2048, 2049, 2049, 2048, 2049, 2049]",302.0
1229,9472,55,2,2024-03-02T15:05:23.374000+00:00,30.974,42.366,23.896,235.0,244,False,97.236,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2048, 2049, 2048, 2049, 2048, 2049, 2049, 2049, 2048, 2048]","[2049, 2048, 2048, 2048, 2048, 2048, 2048]",297.0
1229,9472,14,2,2024-03-02T15:05:24.398000+00:00,31.203,42.896,23.921,231.0,236,False,98.02,"[2049, 2049, 2049, 2051, 2049, 2049, 2049, 2048, 2049, 2048]","[2049, 2048, 2049, 2048, 2049, 2048, 2048, 2049, 2049, 2048, 2048]","[2049, 2049, 2048, 2049, 2049, 2049, 2049]",293.0
1229,9472,4,2,2024-03-02T15:05:24.936000+00:00,31.353,42.618,24.039,231.0,249,False,98.01,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2048]","[2049, 2049, 2049, 2048, 2049, 2048, 2049, 2049, 2049, 2051, 2049]","[2048, 2048, 2048, 2049, 2049, 2049, 2049]",298.0
1229,9472,81,2,2024-03-02T15:05:25.300000+00:00,31.429,42.789,24.164,233.0,253,False,98.382,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2048, 2049, 2049, 2048, 2049, 2049, 2049, 2048, 2049]","[2048, 2048, 2048, 2049, 2049, 2049, 2049]",302.0
1229,9472,44,2,2024-03-02T15:05:25.792000+00:00,31.287,42.893,24.093,,245,False,98.273,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2048, 2048, 2049, 2049, 2049, 2049, 2048]","[2049, 2049, 2049, 2049, 2048, 2049, 2049]",301.0
1229,9472,22,2,2024-03-02T15:05:26.188000+00:00,31.675,42.717,24.297,232.0,243,False,98.689,"[2049, 2049, 2049, 2048, 2049, 2049, 2049, 2049, 2049, 2048]","[2049, 2049, 2049, 2048, 2049, 2048, 2049, 2049, 2049, 2048, 2049]","[2049, 2049, 2049, 2048, 2049, 2048, 2049]",289.0
1229,9472,23,2,2024-03-02T15:05:26.586000+00:00,31.419,43.106,24.301,229.0,245,False,98.826,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2048, 2048, 2049, 2048, 2049, 2049, 2049, 2049, 2049]","[2049, 2048, 2048, 2049, 2049, 2048, 2049]",295.0
1229,9472,20,2,2024-03-02T15:05:27.191000+00:00,31.591,43.075,24.245,229.0,245,False,98.911,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2048]","[2049, 2049, 2049, 2049, 2049, 2048, 2051, 2049, 2049, 2049, 2049]","[2048, 2049, 2049, 2049, 2049, 2048, 2051]",287.0
1229,9472,24,2,2024-03-02T15:05:27.553000+00:00,31.452,43.135,24.333,230.0,249,False,98.92,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2048, 2049, 2049, 2049, 2049, 2049, 2048, 2048, 2049]","[2048, 2048, 2048, 2049, 2048, 2049, 2051]",302.0
1229,9472,3,2,2024-03-02T15:05:28.518000+00:00,31.662,43.353,24.494,231.0,243,False,99.509,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2048, 2048]","[2048, 2048, 2048, 2048, 2049, 2049, 2049, 2049, 2049, 2048, 2049]","[2048, 2048, 2048, 2048, 2049, 2049, 2049]",300.0
1229,9472,2,2,2024-03-02T15:05:28.737000+00:00,31.096,43.005,24.38,231.0,248,False,98.481,"[2049, 2049, 2049, 2049, 2049, 2049, 2051, 2051, 2049, 2049]","[2048, 2049, 2049, 2048, 2048, 2048, 2049, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2049, 2048]",308.0
1229,9472,31,2,2024-03-02T15:05:29.423000+00:00,32.005,42.719,24.37,229.0,245,False,99.094,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2048, 2049, 2049, 2049, 2049, 2049, 2049, 2048, 2048]","[2048, 2048, 2049, 2049, 2049, 2048, 2049]",283.0
1229,9472,10,2,2024-03-02T15:05:30.020000+00:00,31.86,42.743,24.456,229.0,245,False,99.059,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2048]","[2049, 2049, 2048, 2048, 2049, 2048, 2049, 2049, 2049, 2049, 2049]","[2048, 2049, 2049, 2048, 2049, 2049, 2049]",266.0
1229,9472,77,2,2024-03-02T15:05:31.193000+00:00,31.351,42.663,24.245,232.0,247,False,98.259,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2048, 2048, 2049, 2049, 2051, 2048, 2049, 2048]","[2048, 2048, 2049, 2049, 2048, 2049, 2049]",299.0
1229,9472,18,2,2024-03-02T15:05:32.877000+00:00,31.319,42.653,24.015,228.0,241,False,97.987,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2048, 2049, 2048, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2048, 2049]",287.0
