session_key,avg_openmeteo_temperature_2m_c,avg_openmeteo_relative_humidity_2m_pct,total_openmeteo_precipitation_mm,total_openmeteo_rain_mm,avg_openmeteo_cloud_cover_pct,avg_openmeteo_wind_speed_10m_kmh,max_openmeteo_wind_gusts_10m_kmh,avg_openf1_track_temperature_c,avg_openf1_air_temperature_c,avg_openf1_humidity_pct,openf1_rainfall_flag,avg_openf1_wind_speed,openmeteo_rain_flag,weather_context_id,openf1_track_temp_bin,openf1_weather_category
7779,24.891666666666666,48.25,0.0,0.0,20.833333333333332,16.266666666666666,47.2,31.79256756756757,26.09189189189189,57.79054054054054,0,1.7722972972972975,False,7779,Moderate,Dry
7787,12.612499999999999,79.58333333333333,0.0,0.0,32.125,8.191666666666666,34.9,30.13963963963964,17.449549549549552,54.15765765765766,0,1.127027027027027,False,7787,Moderate,Dry
7953,24.6875,37.916666666666664,0.0,0.0,0.25,8.4375,20.5,31.01180124223602,27.43167701863354,21.496894409937887,0,0.6832298136645962,False,7953,Moderate,Dry
9070,19.837500000000002,68.79166666666667,1.5,1.5,85.0,16.0,53.6,41.21,24.860625,49.225,0,1.0831250000000001,True,9070,Hot,Rain
9078,24.075,75.29166666666667,2.1,2.1,32.208333333333336,18.6125,50.4,36.689032258064515,27.11741935483871,59.42580645161291,0,3.970322580645161,True,9078,Hot,Rain
9094,21.474999999999998,71.25,6.9,6.9,87.54166666666667,5.841666666666666,39.2,39.25568181818182,25.06590909090909,45.86363636363637,1,1.0056818181818181,True,9094,Hot,Rain
9102,18.787499999999998,81.08333333333333,10.799999999999999,10.799999999999999,50.458333333333336,6.75,28.8,33.83896103896104,22.674025974025977,63.077922077922075,0,1.8694805194805197,True,9102,Moderate,Rain
9110,15.608333333333334,78.91666666666667,1.4,1.4,95.375,17.525000000000002,41.0,30.593209876543213,18.530246913580246,63.901234567901234,0,1.9419753086419755,True,9110,Moderate,Rain
9118,18.083333333333332,72.04166666666667,0.30000000000000004,0.30000000000000004,53.916666666666664,4.908333333333333,34.6,32.05424836601307,22.398039215686275,52.04575163398693,1,1.0973856209150328,True,9118,Moderate,Rain
9126,17.787499999999998,74.79166666666667,0.30000000000000004,0.30000000000000004,81.04166666666667,12.620833333333332,42.1,30.94105960264901,21.473509933774835,56.18543046357616,0,3.023841059602649,True,9126,Moderate,Rain
